"Año","Semana","PrecioPollo","PrecioPrediccion","error_porcentual"
2017,29,41.384,37.8981832254774,0.08
2017,30,41.353,37.1674176046978,0.1
2017,31,41.344,37.1655377265379,0.1
2017,32,38.585,37.0829129548118,0.04
2017,33,38.55,36.266565319622,0.06
2017,34,38.45,35.8500280759103,0.07
2017,35,38.064,35.3180751804202,0.07
2017,36,34.868,34.4444096392207,0.01
2017,37,38.032,36.6092906970412,0.04
2017,38,38.28,36.5872060752341,0.04
2017,39,37.618,36.9846242925411,0.02
2017,40,31.55,35.2883125685994,0.12
2017,41,28.6,33.2685509364765,0.16
2017,42,27.84,32.2076879508359,0.16
2017,43,27.96,31.3793504752591,0.12
2017,44,31.87875,32.4828288343157,0.02
2017,45,30.795,33.251571720967,0.08
2017,46,30.82,33.3786361039885,0.08
2017,47,32.4075,33.5802649795524,0.04
2017,48,32.9866666666667,34.3296586349221,0.04
2017,49,30.41,32.8233164669317,0.08
2017,50,32.869,33.3654115728139,0.02
2017,51,34.832,35.4178153229362,0.02
2017,52,36.75875,36.8600411753932,0
2018,1,33.86875,35.9749640805647,0.06
2018,2,33.706,35.55443567387,0.05
2018,3,32.888,34.3990830590347,0.05
2018,4,32.82,34.1629683411048,0.04
2018,5,35.072,35.1645158787304,0
2018,6,36.735,34.4555259488877,0.06
2018,7,37.586,35.3018773450765,0.06
2018,8,37.536,35.5864599342276,0.05
2018,9,38.528,36.467405220012,0.05
2018,10,39.528,37.2597221448275,0.06
2018,11,39.477,37.7067105994237,0.04
2018,12,39.3925,37.9832793491679,0.04
2018,13,39.4066666666667,38.7457361309017,0.02
2018,14,39.404,40.0159936194186,0.02
2018,15,39.578,40.0308262056113,0.01
2018,16,39.542,39.7989806067592,0.01
2018,17,39.562,40.9706121440834,0.04
2018,18,41.14125,43.4745933697256,0.06
2018,19,41.443,43.6643517812193,0.05
2018,20,42.479,44.0621894748547,0.04
2018,21,44.342,45.1259778719523,0.02
2018,22,45.112,44.2927284490013,0.02
2018,23,46.272,42.8220364307045,0.07
2018,24,46.272,41.9027933083179,0.09
2018,25,45.416,41.7438826712048,0.08
2018,26,44.5,40.9667390455086,0.08
2018,27,42.4006666666667,40.4527187743793,0.05
2018,28,38.32,38.4626895655977,0
2018,29,37.1466666666667,37.8545693828544,0.02
2018,30,36.698,38.4248707554876,0.05
2018,31,36.3533333333333,39.5486080263289,0.09
2018,32,36.6833333333333,39.4546869350618,0.08
2018,33,35.1866666666667,39.0843836631842,0.11
2018,34,34.5,39.0957965495713,0.13
2018,35,36.0506666666667,38.5557224809667,0.07
2018,36,36.5666666666667,37.7709869912833,0.03
2018,37,37.7786666666667,39.2533295257581,0.04
2018,38,38.12,39.0779119922663,0.03
2018,39,40.224,40.057390777457,0
2018,40,40.552,38.9952228427011,0.04
2018,41,39.904,37.2176293113917,0.07
2018,42,39.5946666666667,36.6678418265592,0.07
2018,43,37.9093333333333,35.2745510730948,0.07
2018,44,35.5125,36.5549029427224,0.03
2018,45,38.228,37.8428263682324,0.01
2018,46,40.1766666666667,38.0277231297658,0.05
2018,47,38.325,37.3347173570452,0.03
2018,48,38.9473333333333,38.4176176529922,0.01
